0,1,149
0,9,113
0,10,89
0,11,107
0,14,97
0,15,110
0,16,110
0,21,90
0,24,142
0,25,96
0,28,92
1,0,38
1,2,100
1,6,117
1,10,100
1,13,83
1,17,70
1,19,110
1,27,84
2,3,1090
2,4,980
2,8,920
2,11,1070
2,13,830
2,14,740
2,17,980
2,18,1300
2,24,490
2,25,860
2,28,1310
3,4,1060
3,5,1210
3,10,1070
3,12,1020
3,14,800
3,15,970
3,17,990
3,21,840
3,27,1130
4,5,115
4,8,101
4,9,97
4,10,121
4,12,91
4,19,126
4,22,107
4,28,96
5,0,850
5,3,1050
5,6,1020
5,8,1310
5,10,880
5,13,1470
5,23,1250
5,24,950
5,29,1060
6,7,106
6,14,96
6,18,46
6,19,74
6,20,92
6,21,75
6,23,109
6,27,65
7,1,670
7,2,1060
7,3,1260
7,8,1290
7,11,1120
7,12,980
7,20,790
7,21,1040
7,22,1040
7,23,840
7,27,1070
7,28,870
7,29,1100
8,2,80
8,6,77
8,9,83
8,14,136
8,18,68
8,20,82
8,25,85
9,5,105
9,6,85
9,8,77
9,10,128
9,18,84
9,23,84
9,24,81
9,25,99
9,29,84
10,1,112
10,7,57
10,9,107
10,11,103
10,12,138
10,14,94
10,16,98
10,23,100
10,24,100
10,25,86
10,28,95
10,29,110
11,2,740
11,5,1100
11,6,1050
11,8,750
11,12,730
11,20,1050
11,22,890
11,29,1070
12,1,96
12,6,88
12,7,116
12,11,138
12,13,81
12,16,87
12,19,103
12,23,87
12,25,129
12,27,90
12,28,115
13,0,1280
13,2,1180
13,3,830
13,4,1190
13,8,1030
13,14,1150
13,16,1030
13,29,1320
14,3,92
14,6,90
14,11,99
14,13,93
14,15,79
14,17,97
14,18,64
14,19,101
14,21,104
14,22,95
14,26,137
14,28,76
15,0,139
15,2,125
15,3,94
15,8,80
15,11,76
15,12,106
15,16,110
15,20,87
15,25,94
15,27,102
15,28,100
16,0,104
16,1,73
16,2,79
16,9,107
16,10,52
16,12,61
16,17,98
16,18,98
16,20,143
16,21,78
16,22,133
16,23,89
16,25,90
16,26,117
16,27,80
17,0,1230
17,5,780
17,9,970
17,14,740
17,18,680
17,20,820
17,21,1500
17,25,950
17,26,940
17,29,770
18,0,74
18,2,102
18,3,118
18,9,104
18,12,105
18,13,118
18,19,69
19,0,1420
19,7,950
19,9,1300
19,10,980
19,13,1000
19,14,1060
19,16,780
19,20,950
19,22,650
19,25,890
19,26,600
19,27,1110
20,1,112
20,5,80
20,6,88
20,8,76
20,11,92
20,12,148
20,17,78
20,19,110
20,21,85
20,22,116
20,23,110
20,28,66
21,1,106
21,2,140
21,6,84
21,13,93
21,17,112
21,18,111
21,22,119
21,25,67
21,27,105
22,0,110
22,1,95
22,6,123
22,7,142
22,8,110
22,10,110
22,11,57
22,18,80
22,19,79
22,21,83
22,23,114
22,24,70
22,27,98
22,28,117
23,1,1260
23,8,960
23,13,1100
23,14,1020
23,15,860
23,18,910
23,21,1310
23,24,940
23,25,870
23,26,1130
24,0,111
24,2,102
24,5,97
24,10,87
24,18,98
24,25,108
24,26,117
25,1,85
25,2,93
25,3,89
25,7,99
25,8,90
25,9,102
25,10,108
25,14,79
25,17,121
25,21,70
25,22,99
25,23,101
25,26,103
26,2,83
26,6,110
26,7,97
26,9,92
26,10,105
26,16,120
26,17,78
26,21,112
26,23,108
26,27,111
27,3,143
27,9,85
27,16,89
27,18,54
27,19,105
27,22,91
27,28,101
27,29,98
28,1,62
28,2,150
28,3,71
28,5,107
28,14,100
28,16,89
28,20,91
28,24,114
28,29,82
29,1,800
29,4,980
29,10,890
29,11,1110
29,18,830
29,19,1170
29,28,1160
